"seasonal_a0","seasonal_a1","seasonal_b1","seasonal_a2","seasonal_b2","seasonal_a3","seasonal_b3"
1.282603178,0.833980911,0.724505474,-0.84750645,-0.274797033,-0.418564465,-0.52195399
2.696017868,1.962866426,1.252165023,-0.966485324,-0.576661099,-0.221369257,-0.880827548
1.33083956,-1.851125007,-0.906299283,0.553517864,0.8487724,-0.0085286,-0.283836991
1.252140373,-1.686849142,-1.048142712,0.41572928,0.971747816,0.053294698,-0.32063522
0.579419036,0.785610383,0.334811127,0.253656531,0.307591239,0.009282231,0.124116919
2.321286261,-2.670250223,-1.765052194,0.02079402,1.219592416,0.418590922,-0.097423161
3.268576556,-1.480072378,-0.306224942,-0.00970901,-2.694208144,-1.098619309,1.033910775
3.844583197,-4.008970139,-1.694935164,-0.557990659,0.535587032,0.747394785,0.308011993
4.166070654,-2.334160171,-1.164820052,-1.578811526,-0.621298898,-0.066468183,0.471955251
3.359445361,2.894441072,0.822911884,-0.651315685,-1.603736842,-0.113194313,-1.377129563
2.95907479,2.139967004,2.336122709,0.685218894,1.189606406,0.183753644,0.458659425
0.038823991,-0.025840775,-0.045128954,-0.012131077,0.036093557,0.024273237,-0.001698739
0.235779742,0.05670098,-0.123605269,-0.067159631,0.076951809,0.029506722,0.008815421
0.810906297,-0.965412314,-0.413665948,0.267713518,0.56506446,0.06338101,-0.39585864
2.992592593,-3.674331602,-1.511275002,0.629170684,2.075967869,0.218511498,-1.095641176
5.372673595,3.440891004,-0.840112681,-3.004206861,-2.512681174,-1.467053941,-0.766903547
2.917129557,-1.791488603,-0.705720404,-0.952456283,-0.929679837,-0.180413768,0.997576874
4.009151903,-4.728675916,-4.260620674,0.305489773,3.051317213,0.436498651,-0.578583943
0.892571791,-1.041524343,-1.084727345,-0.01707001,0.924634301,0.269925387,-0.223400225
2.472610403,-2.961996284,-2.878252437,0.080078758,2.354964519,0.53311277,-0.573002646
5.306614806,-3.206878271,-1.644424905,-1.271556792,-1.022820399,-0.323599593,1.325373423
1.658397053,-1.275426718,-0.200236163,0.182337314,-0.407903238,-0.168362851,-0.161997644
7.601153669,-7.00441579,-4.195639288,-0.201804167,0.879802592,-0.2920668,0.522786167
3.492082292,4.648759851,2.035102699,1.406820872,1.809091776,0.037820376,0.583683431
1.144585337,-1.553594475,-1.05360296,0.365352584,0.968949134,0.072134071,-0.308913106
2.380012713,2.622617386,1.917782227,0.422905027,0.960408116,0.129066883,-0.04425938
0.188304056,-0.217716867,-0.210466361,0.005223186,0.172448906,0.042813494,-0.040779465
1.394564547,2.043947067,0.728154134,0.885884409,0.674104242,0.195552882,0.24048393
0.149288424,0.139427708,0.066280868,-0.000672188,0.0216323,-0.011445159,-0.007644912
0.080573131,-0.104353519,-0.025972545,0.034083195,0.026953395,-0.004351667,-0.007202559
5.379071976,-4.590756626,-2.01791768,-0.653972667,0.484541236,-0.144533779,0.354781777
2.405187671,0.875990432,0.580053203,-1.552536171,-0.77660789,-0.070343701,-0.488721272
0.38152529,-0.535816181,-0.326462517,0.151577312,0.301206185,0.010732193,-0.098727974
0.155529495,-0.14461766,-0.202074941,-0.032627067,0.160408676,0.071015774,-0.021156156
5.254722493,-4.487159639,-3.778360279,-0.667192414,0.752278803,-0.058814286,0.479053896
0.291254891,-0.098958962,-0.090361606,-0.134429948,0.072297183,0.134810461,-0.032298366
2.662580391,-2.32189632,-1.077819791,-0.43434432,-0.469558996,0.155479777,0.684178172
3.591959115,0.489127626,-0.980755054,-2.230347027,-1.561148232,-0.469770371,0.821339434
1.172480678,1.40542755,0.048606816,0.328072144,-0.144151502,0.071171917,-0.179759025
0.165465906,-0.222591825,-0.158432398,0.04443209,0.150766294,0.019695495,-0.054298281
2.312923176,-2.594185774,-1.247124937,0.024837822,0.917885449,0.472269468,-0.151025365
1.209155709,0.480412126,0.910245535,-0.498798527,-0.530129567,0.146639515,-0.587189011
2.855121918,-1.91148807,-0.886282251,-0.690134041,-0.790256928,-0.035331331,0.337580585
0.698058616,0.592718436,0.352501824,0.001792606,0.264406977,-0.049405861,0.049538584
2.216066742,3.281521656,1.324871088,1.250682084,1.218446208,0.167760091,0.397779049
0.411314761,0.611653957,0.231228606,0.252769664,0.233323619,0.033522462,0.095204604
